category,ingredient
baking,baking powder
baking,baking soda
baking,brown sugar
baking,cornstarch
baking,flour
baking,sugar
baking,vanilla
dairy,parmesan
grains,basmati rice
grains,bulgur
grains,shortrain rice
oils etc.,apple cider vinegar
oils etc.,balsamic vinegar
oils etc.,chicken bullion
oils etc.,dried anchovies
oils etc.,kelp
oils etc.,maple syrup
oils etc.,mirin
oils etc.,neutral oil
oils etc.,olive oil
oils etc.,red wine vinegar
oils etc.,sesame oil
oils etc.,soy sauce
oils etc.,tomato paste
oils etc.,veg buillion
oils etc.,white wine vinegar
spices,allspice
spices,allspice berries
spices,bay leaves
spices,black pepper
spices,bouillon cubes
spices,caraway seeds
spices,chili bean sauce
spices,chili flakes
spices,chili powder
spices,cinnamon
spices,coriander
spices,cumin
spices,cumin seeds
spices,curry powder
spices,dried chilies
spices,gochugaru
spices,gochujang
spices,mustard seeds
spices,pickled ginger
spices,salt
spices,salted fermented black beans
spices,sichuan peppercorns
spices,smoked paprika
spices,sweet paprika
spices,tumeric
spices,urfa chile flakes
spices,zaatar
spices,cloves
spices,asafoetida
grains,jasmine rice
oils etc.,sunflower oil
oils etc.,sherry vinegar
spices,fennel seeds
oils etc.,pomegranate molasses
spices,cinnamon sticks
spices,cardamom seeds
oils etc.,peanut oil
spices,nigella seeds
spices,dried mint
spices,nutmeg
spices,cardamom
oils etc.,agave syrup
oils etc.,hot suace
oils etc.,harissa
